# file: 12CO_LB_regrid_LSRK_spw0.ms
# From plot 0
# x y chan scan field ant1 ant2 ant1name ant2name time freq spw poln obs
# U V None None None None None None None MJD(seconds) GHz None None None
-376.063 214.361 0 7 0 2 41 DA43@A091 DV23@A060 5208536043.696 345.778362496 0 XX 0
-547.233 -718.14 1 7 0 2 42 DA43@A091 DV24@A111 5208536043.696 345.779339181 0 YY 0
-267.353 119.253 2 7 0 2 43 DA43@A091 DV25@A033 5208536043.696 345.780315866 0 XX 0
609.733 -1667.3 3 7 0 3 4 DA44@A120 DA46@A122 5208536043.696 345.781292551 0 YY 0
-490.597 -1132.32 4 7 0 3 5 DA44@A120 DA47@A022 5208536043.696 345.782269236 0 XX 0
-742.7 -1055.06 5 7 0 3 6 DA44@A120 DA48@A082 5208536043.696 345.783245921 0 YY 0
-474.851 -1166.56 6 7 0 3 7 DA44@A120 DA49@A066 5208536043.696 345.784222606 0 XX 0
-488.02 -707.813 7 7 0 3 8 DA44@A120 DA50@A089 5208536043.696 345.785199290 0 YY 0
-644.116 -1312.47 8 7 0 3 10 DA44@A120 DA53@A085 5208536043.696 345.786175975 0 XX 0
-451.776 -1261.48 9 7 0 3 11 DA44@A120 DA54@A075 5208536043.696 345.787152660 0 YY 0
-503.767 -516.661 10 7 0 3 12 DA44@A120 DA55@A134 5208536043.696 345.788129345 0 XX 0
-485.178 -955.146 11 7 0 3 13 DA44@A120 DA56@A062 5208536043.696 345.789106030 0 YY 0
-291.232 -757.011 12 7 0 3 14 DA44@A120 DA57@A094 5208536043.696 345.790082715 0 XX 0
-444.169 -876.815 13 7 0 3 15 DA44@A120 DA58@A076 5208536043.696 345.791059400 0 YY 0
-502.372 -1481.56 14 7 0 3 16 DA44@A120 DA59@A093 5208536043.696 345.792036084 0 XX 0
-405.244 -985.069 15 7 0 3 17 DA44@A120 DA62@A069 5208536043.696 345.793012769 0 YY 0
-524.982 -139.836 16 7 0 3 18 DA44@A120 DA63@A115 5208536043.696 345.793989454 0 XX 0
-845.654 -276.366 17 7 0 3 19 DA44@A120 DA64@A110 5208536043.696 345.794966139 0 YY 0
-493.238 -998.293 18 7 0 3 20 DA44@A120 DA65@A045 5208536043.696 345.795942824 0 XX 0
-467.338 -1097.57 19 7 0 3 21 DA44@A120 DV02@A024 5208536043.696 345.796919509 0 YY 0
-459.868 -1035.29 20 7 0 3 22 DA44@A120 DV03@A027 5208536043.696 345.797896194 0 XX 0
-550.393 -1028.77 21 7 0 3 23 DA44@A120 DV04@A042 5208536043.696 345.798872878 0 YY 0
-741.94 -747.222 22 7 0 3 24 DA44@A120 DV05@A092 5208536043.696 345.799849563 0 XX 0
-110.204 -1398.13 23 7 0 3 25 DA44@A120 DV06@A096 5208536043.696 345.800826248 0 YY 0
-252.619 -992.298 24 7 0 3 26 DA44@A120 DV07@A086 5208536043.696 345.801802933 0 XX 0
